Year,Month,MEI,CO2,CH4,N2O,CFC-11,CFC-12,TSI,Aerosols,Temp
1990,5,0.593,357.29,1734.47,308.564,260.699,479.174,1366.531,0.0044,746.8154479185465
1990,6,0.389,356.32,1722.26,308.46,261.138,480.57,1366.7708,0.006,751.3528891800958
1990,7,0.084,354.89,1712.71,308.411,261.594,481.251,1366.4602,0.0073,747.2010463998355
1990,8,0.123,352.89,1717.93,308.496,262.342,482.685,1366.1691,0.0074,749.5219829692004
1990,9,0.376,351.28,1733.81,308.718,263.107,484.643,1366.8029,0.0068,741.3859299502619
1990,10,0.241,351.59,1736.9,308.879,263.616,486.334,1366.6147,0.0058,744.7944795226667
1990,11,0.372,353.05,1741.42,309.072,264.455,487.528,1365.8518,0.006,748.8615042223113
1990,12,0.335,354.27,1749.58,309.227,265.182,488.674,1366.387,0.006,750.1788313340576
1991,1,0.309,354.87,1734.82,309.404,265.709,489.664,1366.0527,0.006,747.5533685193751
1991,2,0.31,355.68,1730.98,309.528,266.008,490.433,1366.3072,0.0057,751.490924172169
1991,3,0.393,357.06,1746.52,309.467,265.86,491.114,1366.524,0.0055,748.7348449540435
1991,4,0.444,358.51,1749.54,309.381,265.876,491.634,1367.0578,0.0053,752.4194642508008
1991,5,0.719,359.09,1747.24,309.093,265.784,491.15,1366.426,0.0053,748.3009312858138
1991,6,1.163,358.1,1739.98,308.954,267.329,492.105,1366.4313,0.0179,750.5520240032665
1991,7,1.011,356.12,1730.94,308.789,267.25,493.348,1366.6668,0.0377,749.724952414063
1991,8,1.012,353.89,1721.95,309.009,266.54,493.929,1366.4562,0.071,747.6426212028445
1991,9,0.737,352.3,1734.55,309.365,265.986,495.096,1366.8856,0.0964,743.6199807073702
1991,10,1.017,352.32,1751.75,309.527,266.846,496.798,1366.1477,0.1197,750.2637731823315
1991,11,1.202,353.79,1750.27,309.72,267.752,497.967,1366.6227,0.138,744.3978466993389
1991,12,1.32,355.07,1752.37,310.254,267.859,498.083,1365.9437,0.1385,747.9337534634979
1992,1,1.75,356.17,1755.57,310.48,268.05,499.467,1366.5226,0.1483,749.8887661590225
1992,2,1.871,356.93,1750.02,310.128,268.274,501.644,1366.4271,0.1494,753.2888834576007
1992,3,1.992,357.82,1752.39,309.69,268.477,502.436,1366.7462,0.1428,749.3937679381653
1992,4,2.271,359.0,1753.24,309.508,268.387,502.811,1366.5951,0.1386,753.4073440202736
1992,5,2.13,359.55,1744.48,309.383,268.65,504.226,1366.4173,0.1379,748.9594723603154
1992,6,1.714,359.32,1743.3,309.392,269.014,505.101,1366.2973,0.1265,750.9459850369162
1992,7,0.946,356.85,1736.28,309.687,269.483,505.671,1366.0569,0.1228,745.2278201580959
1992,8,0.536,354.91,1725.65,309.985,269.912,507.207,1366.0305,0.1141,744.9050760214122
1992,9,0.512,352.93,1729.78,310.229,270.497,508.52,1366.1615,0.1044,747.8029104575373
1992,10,0.669,353.31,1740.76,310.252,270.765,508.614,1365.9202,0.0978,746.9404662758164
1992,11,0.602,354.27,1755.29,310.216,270.886,508.737,1366.1329,0.0918,748.5006019752282
1992,12,0.644,355.53,1758.32,310.293,271.057,509.265,1366.2845,0.0793,747.4132551883337
1993,1,0.699,356.86,1747.82,310.397,271.193,509.232,1366.3025,0.0743,753.8879471633263
1993,2,0.999,357.27,1745.64,310.344,270.814,509.287,1365.8985,0.0661,750.4226381159483
1993,3,0.979,358.36,1747.95,310.167,270.154,509.218,1366.209,0.0608,746.4662217035064
1993,4,1.388,359.27,1746.7,310.129,269.914,509.453,1366.1796,0.0559,748.9821224076484
1993,5,1.987,360.19,1749.5,310.008,270.53,510.264,1366.1425,0.0525,754.0150427421818
1993,6,1.459,359.52,1745.54,310.073,270.92,511.74,1366.1398,0.0482,749.1802103625524
1993,7,1.09,357.42,1731.92,310.357,270.46,513.309,1366.0917,0.0445,751.4558773186142
1993,8,1.003,355.46,1731.93,310.242,270.194,513.715,1366.0459,0.0425,753.4990429161395
1993,9,0.982,354.1,1744.46,309.942,270.685,513.455,1365.8892,0.0394,749.1105423673108
1993,10,1.059,354.12,1760.21,310.217,271.216,513.602,1365.7272,0.0376,748.8691352997928
1993,11,0.822,355.4,1767.99,310.429,271.339,514.557,1365.7575,0.035,747.778710417569
1993,12,0.562,356.84,1763.5,310.091,271.494,514.616,1365.9086,0.0312,747.5983326699985
1994,1,0.338,358.22,1759.84,309.951,271.238,514.991,1365.7375,0.0285,748.9026822237493
1994,2,0.192,358.98,1752.06,310.144,270.9,515.387,1365.9885,0.0265,751.8781054729884
1994,3,0.159,359.91,1754.63,310.03,270.676,515.302,1366.0304,0.0238,751.8104282124722
1994,4,0.423,361.32,1763.75,310.089,270.924,515.243,1365.8642,0.0218,750.359689436111
1994,5,0.521,361.68,1755.04,310.157,270.691,515.523,1365.7634,0.0205,749.8570109553767
1994,6,0.734,360.8,1746.61,310.162,270.516,516.232,1365.764,0.0185,753.2522354082744
1994,7,0.823,359.39,1737.42,310.089,270.85,517.172,1365.7607,0.0179,752.285394235129
1994,8,0.743,357.42,1733.9,310.216,271.228,517.716,1365.7771,0.0173,752.6828726729487
1994,9,0.88,355.63,1757.14,310.526,271.042,518.274,1365.6473,0.0161,749.6960900003315
1994,10,1.433,356.09,1778.6,310.813,270.928,519.545,1365.7159,0.0166,747.8185127256301
1994,11,1.278,357.56,1781.02,310.914,271.087,520.879,1365.8294,0.0159,753.698713285354
1994,12,1.184,358.87,1779.12,310.947,270.807,521.311,1365.7053,0.016,751.232653810369
1995,1,1.2,359.87,1764.33,311.115,270.435,521.54,1365.825,0.012,751.9548691371036
1995,2,0.961,360.79,1756.89,311.216,270.304,521.752,1365.8141,0.0117,753.6558543691108
1995,3,0.862,361.77,1764.65,311.124,270.098,522.426,1365.7192,0.0109,748.9550798875267
1995,4,0.419,363.23,1762.72,310.918,269.861,523.229,1365.6222,0.01,757.7468295774828
1995,5,0.494,363.77,1761.94,310.824,269.941,523.768,1365.6586,0.01,752.2831992238123
1995,6,0.454,363.22,1759.03,310.871,269.873,523.966,1365.7249,0.0093,752.9778350910194
1995,7,0.182,361.7,1749.21,310.713,269.636,524.878,1365.696,0.0094,754.2321940107214
1995,8,-0.197,359.11,1750.94,310.697,269.661,525.647,1365.715,0.0087,750.8162317055196
1995,9,-0.468,358.11,1761.26,310.828,269.792,525.989,1365.6943,0.0085,752.937452806883
1995,10,-0.487,357.97,1768.73,311.156,269.799,526.535,1365.603,0.0088,753.1631807484598
1995,11,-0.495,359.4,1768.11,311.282,269.967,527.047,1365.6735,0.0086,752.4968849085803
1995,12,-0.559,360.61,1772.75,311.428,269.981,527.476,1365.6402,0.0077,752.1406271004486
1996,1,-0.644,362.04,1771.15,311.62,269.579,528.077,1365.6409,0.0074,753.7722042375121
1996,2,-0.595,363.17,1770.25,311.83,269.384,528.897,1365.6254,0.0072,751.7135328552484
1996,3,-0.264,364.17,1769.7,311.828,269.482,528.589,1365.5815,0.0068,753.3095494260424
1996,4,-0.505,364.51,1758.89,311.711,269.61,528.263,1365.6076,0.0063,750.6423297944854
1996,5,-0.178,365.16,1754.78,311.533,269.456,528.449,1365.6243,0.0067,756.0601955542063
1996,6,-0.001,364.93,1753.6,311.478,269.163,528.67,1365.6256,0.006,755.6252500694137
1996,7,-0.208,363.53,1747.03,311.481,268.803,528.804,1365.5968,0.0066,752.1135976578312
1996,8,-0.396,361.38,1745.36,311.66,268.982,529.492,1365.6629,0.0062,752.727767585334
1996,9,-0.499,359.6,1766.96,311.739,268.964,530.227,1365.6787,0.0059,756.8913833603519
1996,10,-0.387,359.54,1774.5,311.85,268.728,530.837,1365.6315,0.0064,749.1709212467379
1996,11,-0.161,360.84,1769.75,312.03,268.673,531.628,1365.4708,0.0064,750.7804864333382
1996,12,-0.338,362.18,1772.83,312.358,268.872,532.22,1365.6994,0.0061,750.0790886818758
1997,1,-0.487,363.04,1769.9,312.408,268.715,532.302,1365.6956,0.006,751.8931133673367
1997,2,-0.607,364.09,1768.98,312.461,268.491,532.387,1365.6713,0.0057,753.7134634586789
1997,3,-0.254,364.47,1776.07,312.584,268.388,532.452,1365.6975,0.0053,754.2860156090956
1997,4,0.493,366.25,1780.96,312.652,268.151,532.257,1365.7013,0.0052,753.8808919116043
1997,5,1.119,366.69,1776.67,312.519,268.078,532.311,1365.7356,0.0055,755.5669993210333
1997,6,2.307,365.59,1768.27,312.568,268.026,532.575,1365.7267,0.005,749.8264193214193
1997,7,2.756,364.34,1751.61,312.647,267.784,532.827,1365.7217,0.0054,758.4398064329896
1997,8,3.001,362.2,1750.23,312.702,267.441,533.315,1365.7823,0.0051,753.5347605458045
1997,9,3.0,360.31,1775.56,312.845,267.414,534.415,1365.6734,0.0053,752.0868160255462
1997,10,2.358,360.71,1784.8,313.025,267.469,535.205,1365.9298,0.0051,751.549748832531
1997,11,2.518,362.44,1783.94,313.032,267.495,535.405,1365.842,0.0047,756.4930901836638
1997,12,2.32,364.33,1783.14,313.223,267.368,535.373,1365.8847,0.0043,757.8692191709523
1998,1,2.483,365.18,1772.15,313.46,267.19,535.465,1365.9594,0.004,757.0681334450541
1998,2,2.777,365.98,1766.01,313.512,266.978,535.561,1365.9166,0.0037,754.0653358569601
1998,3,2.748,367.13,1774.54,313.346,266.593,535.421,1365.8236,0.0034,759.1675952149725
1998,4,2.673,368.61,1780.3,313.24,266.054,535.409,1366.0897,0.0031,756.2423560451331
1998,5,2.169,369.49,1781.02,313.26,265.841,535.766,1365.9614,0.0029,756.8809448925653
1998,6,1.129,368.95,1779.0,313.419,265.668,536.123,1366.0544,0.0027,756.285320862951
1998,7,0.285,367.74,1762.46,313.542,265.787,536.151,1366.2444,0.0025,757.0013663086636
1998,8,-0.41,365.79,1757.06,313.619,265.784,536.489,1366.086,0.0024,752.7569333156192
1998,9,-0.667,364.01,1771.02,313.7,265.911,537.326,1366.0766,0.0023,755.4093136164523
1998,10,-0.849,364.35,1787.32,313.89,266.395,538.583,1366.3395,0.0022,753.4107289459574
1998,11,-1.17,365.52,1798.26,314.201,266.352,538.473,1366.2555,0.0022,757.9805402190932
1998,12,-1.012,367.08,1802.92,314.504,266.247,538.66,1366.3697,0.0022,756.1856648726315
1999,1,-1.149,368.12,1796.25,314.589,266.016,538.872,1366.4773,0.0022,757.1062221337328
1999,2,-1.238,368.98,1784.64,314.571,265.701,538.971,1366.2395,0.0022,760.7609483197308
1999,3,-1.068,369.6,1788.08,314.444,265.343,539.005,1366.3539,0.0021,755.6403253582297
1999,4,-1.022,370.96,1788.27,314.324,265.111,538.895,1366.2515,0.0021,756.2418907246173
1999,5,-0.681,370.77,1773.11,314.381,264.811,539.015,1366.3802,0.0021,755.9267904205985
1999,6,-0.42,370.33,1771.39,314.436,264.479,538.912,1366.395,0.0021,756.1263771799354
1999,7,-0.465,369.28,1767.43,314.479,264.296,539.103,1366.4328,0.0021,760.10377006829
1999,8,-0.787,366.86,1768.99,314.559,264.182,539.311,1366.4732,0.0021,759.5821708099111
1999,9,-1.004,364.94,1786.22,314.716,264.14,539.685,1366.5807,0.0021,754.237169138193
1999,10,-1.011,365.35,1794.88,314.858,264.181,539.952,1366.2295,0.0021,756.1354781129859
1999,11,-1.079,366.68,1796.88,315.006,264.266,540.312,1366.3525,0.0021,758.8583176999812
1999,12,-1.207,368.04,1802.26,315.081,264.212,540.749,1366.3697,0.0021,759.3717650656048
2000,1,-1.197,369.25,1802.45,315.169,264.074,541.045,1366.7211,0.0021,761.8856438809598
2000,2,-1.246,369.5,1794.21,315.148,263.832,540.971,1366.632,0.0021,759.2433635999047
2000,3,-1.138,370.56,1792.32,315.162,263.473,540.729,1366.4819,0.0021,755.2332941749736
2000,4,-0.521,371.82,1787.23,315.201,263.068,541.073,1366.6498,0.0021,761.6235667403315
2000,5,0.157,371.51,1774.19,315.434,262.655,541.342,1366.3611,0.0021,760.0862175266843
2000,6,-0.15,371.71,1772.71,315.611,262.417,541.652,1366.4507,0.0021,755.0564589712639
2000,7,-0.201,369.85,1769.87,315.82,262.444,541.745,1366.5754,0.0021,760.7347410538279
2000,8,-0.14,368.2,1762.4,315.877,262.428,541.777,1366.9738,0.0021,758.4762441548014
2000,9,-0.247,366.91,1774.22,315.929,262.365,541.898,1366.5276,0.0021,758.1371143332264
2000,10,-0.381,366.99,1797.37,316.014,262.407,542.279,1366.9746,0.0021,758.8009507708177
2000,11,-0.755,368.33,1799.06,316.133,262.448,542.379,1366.9062,0.0021,758.1125750008027
2000,12,-0.581,369.67,1791.13,316.215,262.356,542.388,1366.9492,0.0021,758.9078511862323
2001,1,-0.539,370.52,1789.56,316.264,262.207,542.493,1366.7811,0.0021,757.8513980677975
2001,2,-0.717,371.49,1793.7,316.268,261.978,542.613,1366.8458,0.0021,757.944360539597
2001,3,-0.607,372.53,1801.51,316.163,261.612,542.323,1366.4121,0.0021,760.6436038718924
2001,4,-0.146,373.37,1797.89,316.128,261.27,542.068,1366.4659,0.0021,762.2543889300179
2001,5,0.185,373.82,1783.63,316.046,261.019,542.003,1366.52,0.0021,761.571431238477
2001,6,-0.076,373.18,1773.87,316.087,260.816,542.143,1366.5092,0.0021,758.6993831948467
2001,7,0.253,371.57,1769.8,316.159,260.612,542.092,1366.7203,0.0021,762.0452671912776
2001,8,0.367,369.63,1765.16,316.233,260.4,542.131,1366.4475,0.0021,760.1245487288422
2001,9,-0.126,368.16,1780.4,316.324,260.311,542.279,1366.301,0.0021,757.7852151045074
2001,10,-0.276,368.42,1791.44,316.51,260.355,542.802,1366.814,0.0021,757.1126657207142
2001,11,-0.18,369.69,1793.55,316.729,260.434,543.226,1366.52,0.0021,761.4164488596373
2001,12,0.003,371.18,1796.58,316.883,260.432,543.419,1366.891,0.0022,761.3675382491949
2002,1,-0.05,372.45,1787.94,316.967,260.392,543.501,1367.3162,0.0021,761.4804152025681
2002,2,-0.21,373.14,1783.38,317.009,260.284,543.813,1367.1783,0.0021,756.548560656309
2002,3,-0.201,373.93,1786.67,316.969,260.008,543.473,1367.0065,0.002,763.4121760406053
2002,4,0.339,375.0,1782.47,316.882,259.574,543.165,1366.6454,0.002,762.6882914075319
2002,5,0.778,375.65,1778.81,316.806,259.153,543.053,1366.647,0.0019,762.4032173929396
2002,6,0.853,375.5,1775.11,316.849,258.797,543.279,1366.6873,0.0019,762.6965633259798
2002,7,0.596,374.0,1766.96,316.874,258.6,543.181,1366.1716,0.0016,760.2334554136432
2002,8,0.922,371.83,1766.58,316.9,258.399,542.882,1366.3053,0.0021,755.6168533216382
2002,9,0.808,370.66,1780.92,317.015,258.269,543.078,1366.4584,0.0022,759.3477982842222
2002,10,0.952,370.51,1796.0,317.133,258.274,543.472,1366.5261,0.0022,761.6094883666843
2002,11,1.059,372.2,1801.67,317.234,258.289,543.647,1366.4495,0.0024,757.4843371463621
2002,12,1.11,373.71,1793.14,317.214,257.956,543.383,1366.7773,0.0026,766.398353995903
2003,1,1.184,374.87,1786.46,317.207,257.416,543.113,1366.6034,0.0028,757.1894667446967
2003,2,0.927,375.62,1792.28,317.268,257.107,543.032,1366.5458,0.0028,764.5443179307063
2003,3,0.819,376.48,1797.44,317.403,256.985,543.149,1366.1968,0.0026,764.6046716067877
2003,4,0.308,377.74,1795.5,317.555,256.724,543.028,1366.2227,0.0026,765.8311401619349
2003,5,0.048,378.5,1787.39,317.556,256.395,542.513,1366.1753,0.0025,762.5582379498987
2003,6,0.026,378.18,1791.12,317.558,256.239,542.162,1366.0914,0.0025,761.2375289908853
2003,7,0.089,376.72,1785.91,317.604,256.118,542.208,1366.2437,0.0026,763.5024058060606
2003,8,0.241,374.32,1773.56,317.703,255.889,542.529,1366.2744,0.0028,760.7527951798661
2003,9,0.441,373.2,1788.75,317.796,255.641,542.719,1366.3611,0.0029,761.7600793713328
2003,10,0.509,373.1,1806.62,317.95,255.573,542.935,1365.5612,0.0028,763.6606089235668
2003,11,0.519,374.64,1808.15,318.08,255.679,543.166,1366.1956,0.0028,761.766016066804
2003,12,0.315,375.93,1795.07,318.129,255.522,543.199,1366.2899,0.0027,763.14717808592
2004,1,0.308,377.0,1790.34,318.193,255.276,543.133,1366.1038,0.0025,765.3639205954439
2004,2,0.33,377.87,1798.45,318.188,255.018,543.039,1366.089,0.0024,766.5060812170387
2004,3,-0.125,378.73,1807.48,318.198,254.712,543.008,1366.1272,0.0024,765.1333639062045
2004,4,0.216,380.41,1806.05,318.13,254.385,542.685,1366.1742,0.0024,766.7258306158807
2004,5,0.47,380.63,1788.24,318.101,254.176,542.361,1366.0297,0.0022,765.5684158525943
2004,6,0.17,379.56,1780.35,318.074,253.87,542.098,1366.0179,0.0022,764.5178998130448
2004,7,0.472,377.61,1775.16,318.131,253.59,541.999,1365.7578,0.0023,761.1205197678762
2004,8,0.669,376.15,1770.29,318.236,253.44,541.864,1365.9036,0.0025,761.6917357702611
2004,9,0.524,374.11,1778.7,318.314,253.211,541.798,1366.0957,0.0025,762.2391681572589
2004,10,0.467,374.44,1791.29,318.476,252.899,542.317,1366.1166,0.0025,763.5225314386445
2004,11,0.786,375.93,1801.03,318.648,252.783,542.474,1366.0057,0.0025,761.5326123584708
2004,12,0.643,377.45,1797.24,318.825,252.754,542.172,1366.1552,0.0027,764.1030124280007
2005,1,0.301,378.47,1789.02,318.858,252.659,541.892,1365.7864,0.0029,766.56199806687
2005,2,0.799,379.76,1796.63,318.864,252.479,542.021,1365.9349,0.0031,763.84564778687
2005,3,1.018,381.14,1803.37,318.866,252.271,542.044,1365.8956,0.0034,763.2479442666889
2005,4,0.559,382.2,1791.84,318.866,251.965,541.74,1365.88,0.0035,768.2359544726014
2005,5,0.756,382.47,1781.36,318.866,251.676,541.332,1365.8463,0.0034,765.5017967610016
2005,6,0.487,382.2,1780.6,318.847,251.511,540.979,1365.8059,0.0033,766.5360931018917
2005,7,0.492,380.78,1771.92,318.861,251.306,540.964,1365.8595,0.0033,767.7766587101574
2005,8,0.321,378.73,1766.98,318.933,251.077,540.978,1365.9275,0.0036,767.5189130053124
2005,9,0.255,376.66,1787.78,319.108,250.998,541.206,1365.7988,0.0037,764.343984305035
2005,10,-0.166,376.98,1806.71,319.299,251.021,541.44,1365.886,0.0037,760.1621991948884
2005,11,-0.407,378.29,1803.68,319.525,251.048,541.756,1365.7792,0.0037,764.6404924633148
2005,12,-0.585,379.92,1798.89,319.688,250.989,541.799,1365.8549,0.0036,764.5875044951094
2006,1,-0.471,381.35,1795.03,319.826,250.771,541.627,1365.8986,0.0034,766.044806719847
2006,2,-0.455,382.16,1786.41,319.947,250.484,541.273,1365.8728,0.0033,767.8762245114984
2006,3,-0.591,382.66,1786.77,319.902,250.155,540.952,1365.785,0.0032,765.6289148643855
2006,4,-0.688,384.73,1801.19,319.815,249.989,540.741,1365.8058,0.0032,763.5921237805587
2006,5,-0.036,384.98,1798.85,319.848,249.839,540.456,1365.923,0.003,768.7385020036509
2006,6,0.563,384.09,1780.21,319.882,249.614,539.999,1365.834,0.0033,769.5538430089737
2006,7,0.628,382.38,1765.95,319.872,249.247,539.725,1365.8212,0.0038,768.8614929186041
2006,8,0.759,380.45,1762.66,319.93,248.981,539.682,1365.7067,0.0041,766.228417215993
2006,9,0.793,378.92,1776.04,320.01,248.775,539.566,1365.8419,0.0043,766.5028396920476
2006,10,0.892,379.16,1789.02,320.125,248.666,539.488,1365.827,0.0044,763.7929464121609
2006,11,1.292,380.18,1791.91,320.321,248.605,539.5,1365.7039,0.0049,768.2341139070629
